shape		t		lossrate		minCoverage		PM		runtime

1111111111		27		0.199799		36		58441		4.31653
1111111111		26		0.151725		35		58642		3.5458
1111111111		25		0.112043		34		58782		3.65189
1111111111		24		0.0799793		33		58918		3.48963
1111111111		23		0.0547689		32		59025		3.8207
1111111111		22		0.033266		31		59123		3.71844
1111111111		21		0.0127494		30		59206		3.62728
1111111111		20		0		29		59274		3.41118
1111111111		27		0.199799		36		58441		3.84496
1111111111		26		0.151725		35		58642		3.3336
1111111111		25		0.112043		34		58782		3.69859
1111111111		24		0.0799793		33		58918		4.08203
1111111111		23		0.0547689		32		59025		3.68274
1111111111		22		0.033266		31		59123		3.67286
1111111111		21		0.0127494		30		59206		4.14169
1111111111		20		0		29		59274		3.93166
11111110111		25		0.1542		35		58643		4.10339
11111110111		24		0.11411		34		58758		3.30954
11111110111		23		0.0834967		33		58899		3.83747
11111110111		22		0.0572008		32		59018		3.72022
11111110111		21		0.0376891		31		59112		3.92338
11111110111		20		0.0237393		30		59191		4.34013
11111110111		19		0.00977808		29		59267		3.8816
11111110111		18		0.00196084		28		59330		3.51057
11111110111		17		0.00013994		27		59366		3.71803
11111110111		16		0		26		59401		4.21164
11111111011		25		0.155241		35		58647		3.91261
11111111011		24		0.11655		34		58756		3.70526
11111111011		23		0.0853945		33		58900		4.02014
11111111011		22		0.0607417		32		59018		4.08876
11111111011		21		0.0394731		31		59115		4.6455
11111111011		20		0.0239744		30		59192		4.96287
11111111011		19		0.00977808		29		59271		3.62064
11111111011		18		0.00196084		28		59329		3.82573
11111111011		17		0.00013994		27		59366		3.73962
11111111011		16		0		26		59403		3.72819
111111100111		24		0.17463		35		58586		4.02734
111111100111		23		0.126033		34		58736		4.09749
111111100111		22		0.0906222		33		58873		3.92474
111111100111		21		0.0629563		32		58990		3.89801
111111100111		20		0.0432342		31		59101		3.65946
111111100111		19		0.0278891		30		59187		4.20478
111111100111		18		0.0169314		29		59256		4.33641
111111100111		17		0.00918419		28		59319		4.15187
111111100111		16		0.00414883		27		59361		3.80502
111111100111		15		0.00151044		26		59400		4.28369
111111100111		14		0.000365885		25		59425		4.03306
111111100111		13		6.56847e-05		24		59469		4.15046
111111100111		12		0		23		59510		3.98935
111111110011		24		0.16833		35		58614		2.92199
111111110011		23		0.125592		34		58749		4.35087
111111110011		22		0.0916968		33		58876		4.06919
111111110011		21		0.0669431		32		59000		3.99195
111111110011		20		0.0462048		31		59099		4.29274
111111110011		19		0.030251		30		59193		3.3302
111111110011		18		0.0177561		29		59261		3.45182
111111110011		17		0.00950401		28		59320		3.91275
111111110011		16		0.00414883		27		59364		4.04602
111111110011		15		0.00151044		26		59402		3.58311
111111110011		14		0.000365885		25		59429		3.83932
111111110011		13		6.56847e-05		24		59470		3.16978
111111110011		12		0		23		59509		4.52721
11111111111		24		0.173647		34		58610		3.20835
11111111111		23		0.131433		33		58752		2.2842
11111111111		22		0.097087		32		58879		3.08208
11111111111		21		0.0700887		31		59016		2.42662
11111111111		20		0.0489432		30		59100		2.97999
11111111111		19		0.032303		29		59188		2.57728
11111111111		18		0.0185604		28		59274		3.25034
11111111111		17		0.00665956		27		59329		3.07275
11111111111		16		0		26		59389		3.145
11111111111		24		0.173647		34		58610		2.56506
11111111111		23		0.131433		33		58752		3.66352
11111111111		22		0.097087		32		58879		3.36974
11111111111		21		0.0700887		31		59016		2.54816
11111111111		20		0.0489432		30		59100		3.20496
11111111111		19		0.032303		29		59188		2.98286
11111111111		18		0.0185604		28		59274		2.70498
11111111111		17		0.00665956		27		59329		2.98752
11111111111		16		0		26		59389		2.76891
111111110111		23		0.179155		34		58592		3.18951
111111110111		22		0.131656		33		58750		3.03301
111111110111		21		0.0977253		32		58866		3.47002
111111110111		20		0.0717744		31		59005		3.23511
111111110111		19		0.0511301		30		59095		2.94305
111111110111		18		0.0337085		29		59196		3.14106
111111110111		17		0.0210273		28		59273		2.96581
111111110111		16		0.0123119		27		59327		3.07445
111111110111		15		0.00481054		26		59383		3.2855
111111110111		14		0.000935369		25		59418		3.04121
111111110111		13		6.56847e-05		24		59456		2.68298
111111110111		12		0		23		59500		3.0128
111111111011		23		0.175047		34		58609		2.5398
111111111011		22		0.132654		33		58752		2.57202
111111111011		21		0.0998031		32		58867		2.91345
111111111011		20		0.0735759		31		59004		3.15278
111111111011		19		0.0525381		30		59099		2.48474
111111111011		18		0.0360054		29		59189		2.90529
111111111011		17		0.0221671		28		59274		3.40976
111111111011		16		0.0124636		27		59330		2.84914
111111111011		15		0.00481054		26		59384		2.63477
111111111011		14		0.000935369		25		59419		2.73535
111111111011		13		6.56847e-05		24		59457		3.10279
111111111011		12		0		23		59500		2.78337
1111111100111		22		0.193946		34		58542		2.89773
1111111100111		21		0.146289		33		58720		2.72902
1111111100111		20		0.105854		32		58850		3.08879
1111111100111		19		0.0762905		31		58980		3.23816
1111111100111		18		0.0539977		30		59090		3.30025
1111111100111		17		0.0373132		29		59188		2.99595
1111111100111		16		0.0244964		28		59270		3.37239
1111111100111		15		0.014921		27		59329		2.83354
1111111100111		14		0.00852688		26		59377		3.01853
1111111100111		13		0.00433186		25		59412		2.62796
1111111100111		12		0.00186671		24		59459		3.28599
1111111100111		11		0.000637825		23		59501		2.94396
1111111100111		10		0.000149683		22		59538		3.05297
1111111100111		9		2.38202e-05		21		59567		2.95925
1111111100111		8		0		20		59609		3.01186
1111111110011		22		0.190233		34		58556		3.01749
1111111110011		21		0.142027		33		58748		3.18488
1111111110011		20		0.105976		32		58867		2.85584
1111111110011		19		0.0778176		31		58989		2.69515
1111111110011		18		0.0567012		30		59096		2.79851
1111111110011		17		0.0399919		29		59187		2.99648
1111111110011		16		0.0264408		28		59267		2.85712
1111111110011		15		0.0163816		27		59337		3.40311
1111111110011		14		0.00904715		26		59380		2.87235
1111111110011		13		0.00452128		25		59417		3.39212
1111111110011		12		0.00186671		24		59460		2.41411
1111111110011		11		0.000637825		23		59500		3.04378
1111111110011		10		0.000149683		22		59544		3.00976
1111111110011		9		2.38202e-05		21		59571		3.444
1111111110011		8		0		20		59612		2.98833
111111111111		22		0.191135		33		58593		2.76897
111111111111		21		0.14673		32		58728		2.74033
111111111111		20		0.110498		31		58864		3.06994
111111111111		19		0.0819804		30		59004		3.11014
111111111111		18		0.059457		29		59099		3.46747
111111111111		17		0.0416824		28		59198		2.72782
111111111111		16		0.0279074		27		59277		2.83006
111111111111		15		0.0173708		26		59335		3.0257
111111111111		14		0.00922233		25		59382		3.16631
111111111111		13		0.00302578		24		59438		2.86852
111111111111		12		0		23		59484		3.54226
111111111111		22		0.191135		33		58593		3.02358
111111111111		21		0.14673		32		58728		3.2518
111111111111		20		0.110498		31		58864		2.94783
111111111111		19		0.0819804		30		59004		3.26534
111111111111		18		0.059457		29		59099		2.96244
111111111111		17		0.0416824		28		59198		2.75538
111111111111		16		0.0279074		27		59277		3.1423
111111111111		15		0.0173708		26		59335		2.69361
111111111111		14		0.00922233		25		59382		2.71004
111111111111		13		0.00302578		24		59438		2.7625
111111111111		12		0		23		59484		2.74743
1111111110111		21		0.199092		33		58553		3.11944
1111111110111		20		0.148807		32		58723		2.99437
1111111110111		19		0.109641		31		58879		2.91652
1111111110111		18		0.0815256		30		58984		3.26243
1111111110111		17		0.0596566		29		59106		2.64291
1111111110111		16		0.0423693		28		59200		3.61987
1111111110111		15		0.028919		27		59276		2.86317
1111111110111		14		0.0179695		26		59345		2.57322
1111111110111		13		0.0103529		25		59389		2.94831
1111111110111		12		0.00546412		24		59439		3.3023
1111111110111		11		0.00195579		23		59488		3.13269
1111111110111		10		0.000356406		22		59531		3.12324
1111111110111		9		2.38202e-05		21		59561		3.33575
1111111110111		8		0		20		59607		2.78771
1111111111011		21		0.194966		33		58575		3.13056
1111111111011		20		0.14616		32		58733		2.81094
1111111111011		19		0.110676		31		58885		2.89888
1111111111011		18		0.083246		30		58983		3.17711
1111111111011		17		0.0612203		29		59112		3.47648
1111111111011		16		0.0437015		28		59197		3.17612
1111111111011		15		0.0299161		27		59277		2.76786
1111111111011		14		0.0193761		26		59345		3.07017
1111111111011		13		0.0110256		25		59389		3.16049
1111111111011		12		0.00555244		24		59441		3.40044
1111111111011		11		0.00195579		23		59487		3.16946
1111111111011		10		0.000356406		22		59534		2.99589
1111111111011		9		2.38202e-05		21		59562		3.20234
1111111111011		8		0		20		59607		3.28846
11111111100111		19		0.158778		32		58687		3.29498
11111111100111		18		0.119173		31		58855		2.84671
11111111100111		17		0.0864561		30		58985		3.11534
11111111100111		16		0.0620464		29		59092		2.73904
11111111100111		15		0.0437432		28		59209		3.04312
11111111100111		14		0.0303436		27		59281		2.7192
11111111100111		13		0.0198907		26		59343		2.79644
11111111100111		12		0.0121945		25		59391		3.65308
11111111100111		11		0.00682327		24		59440		3.16111
11111111100111		10		0.00353632		23		59489		2.95115
11111111100111		9		0.00161151		22		59530		3.10502
11111111100111		8		0.00063138		21		59565		2.70631
11111111100111		7		0.000191169		20		59606		3.29565
11111111100111		6		4.11407e-05		19		59643		3.35491
11111111100111		5		5.05413e-06		18		59736		3.17817
11111111100111		4		0		17		59945		3.11505
11111111110011		19		0.156544		32		58718		3.60305
11111111110011		18		0.116815		31		58872		3.40121
11111111110011		17		0.0869396		30		59002		3.26826
11111111110011		16		0.0636596		29		59099		3.19421
11111111110011		15		0.0462254		28		59202		3.15037
11111111110011		14		0.032298		27		59284		2.97257
11111111110011		13		0.0215982		26		59343		2.9799
11111111110011		12		0.0133808		25		59393		2.8453
11111111110011		11		0.00762548		24		59443		3.31946
11111111110011		10		0.00382544		23		59489		3.06981
11111111110011		9		0.0017051		22		59536		3.40183
11111111110011		8		0.00063138		21		59568		2.91719
11111111110011		7		0.000191169		20		59609		2.98923
11111111110011		6		4.11407e-05		19		59652		3.05968
11111111110011		5		5.05413e-06		18		59757		3.25773
11111111110011		4		0		17		60022		3.02527
1111111111111		19		0.158144		31		58725		4.49174
1111111111111		18		0.120409		30		58862		4.36153
1111111111111		17		0.0907035		29		58999		4.57808
1111111111111		16		0.0672017		28		59120		4.08909
1111111111111		15		0.0484914		27		59206		4.23938
1111111111111		14		0.033874		26		59284		3.98105
1111111111111		13		0.022671		25		59342		4.45639
1111111111111		12		0.0142414		24		59402		4.1225
1111111111111		11		0.00811405		23		59456		4.9035
1111111111111		10		0.00384143		22		59513		4.26258
1111111111111		9		0.00109627		21		59549		4.1148
1111111111111		8		0		20		59600		4.46048
1111111111111		19		0.158144		31		58725		4.60602
1111111111111		18		0.120409		30		58862		4.48379
1111111111111		17		0.0907035		29		58999		4.62674
1111111111111		16		0.0672017		28		59120		3.84514
1111111111111		15		0.0484914		27		59206		4.303
1111111111111		14		0.033874		26		59284		4.49516
1111111111111		13		0.022671		25		59342		4.36828
1111111111111		12		0.0142414		24		59402		4.3435
1111111111111		11		0.00811405		23		59456		4.42191
1111111111111		10		0.00384143		22		59513		4.38083
1111111111111		9		0.00109627		21		59549		4.15066
1111111111111		8		0		20		59600		4.64909
11111111110111		18		0.16158		31		58716		4.01534
11111111110111		17		0.12048		30		58866		3.43176
11111111110111		16		0.0887921		29		59015		4.17476
11111111110111		15		0.0656		28		59114		4.87165
11111111110111		14		0.0476202		27		59215		4.33232
11111111110111		13		0.0334353		26		59301		4.16329
11111111110111		12		0.0225326		25		59349		4.68192
11111111110111		11		0.0143143		24		59414		4.6054
11111111110111		10		0.00809164		23		59467		4.38675
11111111110111		9		0.00411206		22		59516		4.16769
11111111110111		8		0.00181595		21		59554		4.54322
11111111110111		7		0.000544782		20		59603		4.8926
11111111110111		6		8.55324e-05		19		59639		4.26282
11111111110111		5		5.05413e-06		18		59726		4.16513
11111111110111		4		0		17		59921		4.66585
11111111111011		18		0.158957		31		58730		4.37258
11111111111011		17		0.119025		30		58874		4.34485
11111111111011		16		0.0898824		29		59019		4.45543
11111111111011		15		0.06711		28		59116		4.88252
11111111111011		14		0.0489042		27		59211		4.33786
11111111111011		13		0.0345713		26		59301		4.71617
11111111111011		12		0.0234713		25		59347		4.38161
11111111111011		11		0.0150058		24		59411		4.24276
11111111111011		10		0.00886422		23		59468		5.12721
11111111111011		9		0.00444901		22		59517		4.57114
11111111111011		8		0.00185809		21		59555		4.19783
11111111111011		7		0.000544782		20		59604		3.85093
