shape		t		lossrate		minCoverage		PM		runtime

1111111111		41		0		50		43244		4.04582
1111111111		41		0		50		43244		4.02284
11111110111		40		0.111454		50		42103		3.80167
11111110111		39		0		49		44079		3.79744
11111111011		40		0.111454		50		42225		3.61147
11111111011		39		0		49		44151		3.71783
111111100111		38		0.105857		49		42998		3.69275
111111100111		37		0		48		44906		3.71916
111111110011		38		0.105857		49		43201		3.52366
111111110011		37		0		48		45302		3.60119
11111111111		39		0		49		43573		3.02663
11111111111		39		0		49		43573		2.62884
111111110111		38		0.105857		49		42487		2.94398
111111110111		37		0		48		44366		2.77982
111111111011		38		0.105857		49		42597		2.84264
111111111011		37		0		48		44436		3.05978
1111111100111		36		0.100268		48		43330		2.79583
1111111100111		35		0		47		45208		2.64343
1111111110011		36		0.100268		48		43524		2.78243
1111111110011		35		0		47		45572		2.54236
111111111111		37		0		48		43883		2.3137
111111111111		37		0		48		43883		2.48163
1111111110111		36		0.100268		48		42863		3.19009
1111111110111		35		0		47		44634		3.17364
1111111111011		36		0.100268		48		42957		3.2025
1111111111011		35		0		47		44700		3.29087
11111111100111		35		0.196639		48		41470		2.69884
11111111100111		34		0.094685		47		43738		2.7888
11111111100111		33		0		46		45505		3.2105
11111111110011		35		0.196639		48		41687		2.46998
11111111110011		34		0.094685		47		43926		2.78214
11111111110011		33		0		46		45832		2.70064
1111111111111		35		0		47		44171		3.96704
1111111111111		35		0		47		44171		3.83393
11111111110111		34		0.094685		47		43216		3.96443
11111111110111		33		0		46		44964		4.73314
11111111111011		34		0.094685		47		43318		3.45901
11111111111011		33		0		46		45041		3.06795
111111111100111		33		0.185548		47		41980		4.54175
111111111100111		32		0.0891045		46		44128		3.99292
111111111100111		31		0		45		45807		4.21262
111111111110011		33		0.185548		47		42191		4.12027
111111111110011		32		0.0891045		46		44291		4.11034
111111111110011		31		0		45		46123		4.18281
11111111111111		33		0		46		44457		9.43362
11111111111111		33		0		46		44457		8.90919
111111111110111		32		0.0891045		46		43639		8.21167
111111111110111		31		0		45		45309		8.37675
111111111111011		32		0.0891045		46		43731		9.39445
111111111111011		31		0		45		45363		9.02852
1111111111100111		31		0.174461		46		42489		7.86368
1111111111100111		30		0.0835225		45		44525		9.45094
1111111111100111		29		0		44		46101		7.89976
1111111111110011		31		0.174461		46		42653		7.39482
1111111111110011		30		0.0835225		45		44691		8.20923
1111111111110011		29		0		44		46390		9.12798
