shape		t		lossrate		minCoverage		PM		runtime

1111111111		41		0.197107		50		57371		5.58229
1111111111		40		0.154719		49		57660		5.4804
1111111111		39		0.117889		48		57914		5.9022
1111111111		38		0.0808639		47		58166		6.43207
1111111111		37		0.035281		46		58411		5.71594
1111111111		36		0		45		58621		6.41236
1111111111		41		0.197107		50		57371		5.47375
1111111111		40		0.154719		49		57660		5.06174
1111111111		39		0.117889		48		57914		5.11645
1111111111		38		0.0808639		47		58166		5.85532
1111111111		37		0.035281		46		58411		6.05483
1111111111		36		0		45		58621		5.49383
11111110111		39		0.162422		49		57599		5.7822
11111110111		38		0.122561		48		57855		4.64843
11111110111		37		0.0909306		47		58073		5.78022
11111110111		36		0.0668096		46		58302		5.28229
11111110111		35		0.0301632		45		58539		4.81136
11111110111		34		0.00630824		44		58710		5.22349
11111110111		33		0.000458201		43		58797		4.74342
11111110111		32		0		42		58902		5.63713
11111111011		39		0.164364		49		57615		5.61464
11111111011		38		0.128382		48		57852		5.80091
11111111011		37		0.0938954		47		58076		4.99942
11111111011		36		0.0671785		46		58314		5.1797
11111111011		35		0.0301632		45		58546		4.85329
11111111011		34		0.00630824		44		58714		5.20968
11111111011		33		0.000458201		43		58813		4.79617
11111111011		32		0		42		58905		5.20168
111111100111		38		0.174724		49		57528		6.00557
111111100111		37		0.132408		48		57786		5.69982
111111100111		36		0.100621		47		58009		5.13794
111111100111		35		0.0737281		46		58221		5.77017
111111100111		34		0.0503273		45		58453		5.2737
111111100111		33		0.0308899		44		58626		5.65822
111111100111		32		0.0148839		43		58764		5.42083
111111100111		31		0.00599829		42		58866		5.57777
111111100111		30		0.00147311		41		58939		5.43576
111111100111		29		0.000314582		40		59023		4.40524
111111100111		28		0		39		59085		5.36741
111111110011		38		0.174499		49		57560		5.54334
111111110011		37		0.138658		48		57803		5.49459
111111110011		36		0.105376		47		58027		4.83378
111111110011		35		0.0780568		46		58229		5.44787
111111110011		34		0.0516902		45		58468		5.33346
111111110011		33		0.0314866		44		58645		5.67894
111111110011		32		0.0148839		43		58765		4.9996
111111110011		31		0.00599829		42		58884		5.00702
111111110011		30		0.00147311		41		58949		4.97252
111111110011		29		0.000314582		40		59027		4.85599
111111110011		28		0		39		59095		5.18009
11111111111		38		0.183511		48		57495		4.22264
11111111111		37		0.145083		47		57749		3.75497
11111111111		36		0.112141		46		57960		4.27785
11111111111		35		0.0837764		45		58200		4.52725
11111111111		34		0.0562341		44		58416		4.21043
11111111111		33		0.0240095		43		58618		3.87594
11111111111		32		0		42		58799		3.89622
11111111111		38		0.183511		48		57495		4.43995
11111111111		37		0.145083		47		57749		4.15189
11111111111		36		0.112141		46		57960		4.13525
11111111111		35		0.0837764		45		58200		4.58121
11111111111		34		0.0562341		44		58416		3.29413
11111111111		33		0.0240095		43		58618		3.92746
11111111111		32		0		42		58799		3.98699
111111110111		37		0.188359		48		57472		4.57184
111111110111		36		0.150607		47		57686		4.10472
111111110111		35		0.118082		46		57928		4.75214
111111110111		34		0.0876028		45		58152		4.69307
111111110111		33		0.0639378		44		58353		3.74945
111111110111		32		0.046044		43		58567		4.13698
111111110111		31		0.0206324		42		58756		4.39609
111111110111		30		0.00431779		41		58857		4.55849
111111110111		29		0.000314582		40		58945		4.42368
111111110111		28		0		39		59029		4.00372
111111111011		37		0.190544		48		57478		3.04139
111111111011		36		0.152575		47		57708		3.04403
111111111011		35		0.119731		46		57943		3.05007
111111111011		34		0.0919762		45		58150		3.04486
111111111011		33		0.0661932		44		58354		3.07336
111111111011		32		0.0463349		43		58576		3.05986
111111111011		31		0.0206324		42		58759		3.03965
111111111011		30		0.00431779		41		58861		3.06236
111111111011		29		0.000314582		40		58956		3.06327
111111111011		28		0		39		59035		3.08224
1111111100111		35		0.160125		47		57654		3.02527
1111111100111		34		0.124696		46		57879		3.03028
1111111100111		33		0.0956343		45		58103		3.01489
1111111100111		32		0.0716241		44		58308		3.01178
1111111100111		31		0.0515109		43		58502		3.0141
1111111100111		30		0.0346214		42		58699		3.0163
1111111100111		29		0.0208878		41		58814		3.01893
1111111100111		28		0.0100162		40		58913		3.02828
1111111100111		27		0.00398217		39		58997		3.02706
1111111100111		26		0.000981908		38		59071		3.0245
1111111100111		25		0.000204633		37		59147		3.02612
1111111100111		24		0		36		59199		3.03048
1111111110011		35		0.160564		47		57685		3.35261
1111111110011		34		0.12791		46		57910		3.35437
1111111110011		33		0.100322		45		58112		3.38582
1111111110011		32		0.0752325		44		58321		3.36677
1111111110011		31		0.0547389		43		58519		3.40402
1111111110011		30		0.0356871		42		58707		3.36194
1111111110011		29		0.0213454		41		58818		3.3776
1111111110011		28		0.0100162		40		58926		3.37839
1111111110011		27		0.00398217		39		59006		3.37458
1111111110011		26		0.000981908		38		59083		3.41532
1111111110011		25		0.000204633		37		59153		3.39203
1111111110011		24		0		36		59209		3.37728
111111111111		35		0.168656		46		57614		3.09635
111111111111		34		0.133863		45		57844		3.12355
111111111111		33		0.103989		44		58075		3.10212
111111111111		32		0.0788388		43		58292		3.11026
111111111111		31		0.0578982		42		58493		3.11721
111111111111		30		0.0381186		41		58680		3.10363
111111111111		29		0.0158642		40		58819		3.12711
111111111111		28		0		39		58941		3.11121
111111111111		35		0.168656		46		57614		3.09881
111111111111		34		0.133863		45		57844		3.0888
111111111111		33		0.103989		44		58075		3.09339
111111111111		32		0.0788388		43		58292		3.11087
111111111111		31		0.0578982		42		58493		3.07594
111111111111		30		0.0381186		41		58680		3.09806
111111111111		29		0.0158642		40		58819		3.10877
111111111111		28		0		39		58941		3.1366
1111111110111		34		0.171732		46		57596		3.13578
1111111110111		33		0.137376		45		57824		3.16546
1111111110111		32		0.108082		44		58059		3.43471
1111111110111		31		0.0835789		43		58249		3.16403
1111111110111		30		0.0611478		42		58465		3.16878
1111111110111		29		0.0436964		41		58651		3.16999
1111111110111		28		0.0304987		40		58781		3.17409
1111111110111		27		0.0134498		39		58912		3.19375
1111111110111		26		0.00280347		38		59003		3.1925
1111111110111		25		0.000204633		37		59083		3.19268
