shape		t		lossrate		minCoverage		PM		runtime

1111111111		33		0.195176		42		57918		3.53512
1111111111		32		0.150553		41		58153		3.55339
1111111111		31		0.113099		40		58368		3.53631
1111111111		30		0.0816577		39		58534		3.55726
1111111111		29		0.0527782		38		58711		3.59394
1111111111		28		0.0217407		37		58855		3.52768
1111111111		27		0		36		58995		3.49875
1111111111		33		0.195176		42		57918		3.48439
1111111111		32		0.150553		41		58153		3.56119
1111111111		31		0.113099		40		58368		3.57852
1111111111		30		0.0816577		39		58534		3.51406
1111111111		29		0.0527782		38		58711		3.49834
1111111111		28		0.0217407		37		58855		3.50464
1111111111		27		0		36		58995		3.50765
11111110111		31		0.155076		41		58119		3.66068
11111110111		30		0.118349		40		58335		3.65844
11111110111		29		0.085088		39		58534		3.67638
11111110111		28		0.0598559		38		58681		3.60199
11111110111		27		0.0411927		37		58810		3.60781
11111110111		26		0.0179619		36		58955		3.70901
11111110111		25		0.00370654		35		59035		3.67048
11111110111		24		0.000267889		34		59109		3.65847
11111110111		23		0		33		59173		3.64841
11111111011		31		0.15754		41		58120		3.61696
11111111011		30		0.120381		40		58327		3.59542
11111111011		29		0.0897256		39		58520		3.62398
11111111011		28		0.0622153		38		58692		3.60629
11111111011		27		0.0414978		37		58818		3.61374
11111111011		26		0.0179619		36		58952		3.69419
11111111011		25		0.00370654		35		59039		3.66463
11111111011		24		0.000267889		34		59113		3.66738
11111111011		23		0		33		59174		3.67348
111111100111		30		0.170401		41		58062		3.64944
111111100111		29		0.128009		40		58309		3.61955
111111100111		28		0.0931161		39		58503		3.58796
111111100111		27		0.0675803		38		58653		3.60612
111111100111		26		0.0467745		37		58765		3.64191
111111100111		25		0.0304053		36		58907		3.64354
111111100111		24		0.0177231		35		59007		3.64221
111111100111		23		0.00835162		34		59089		3.5851
111111100111		22		0.00323181		33		59152		3.5982
111111100111		21		0.000794211		32		59214		3.69654
111111100111		20		0.000158604		31		59262		3.64007
111111100111		19		0		30		59325		3.66378
111111110011		30		0.169059		41		58089		3.56856
111111110011		29		0.128568		40		58316		3.60339
111111110011		28		0.098151		39		58487		3.58029
111111110011		27		0.0714041		38		58659		3.61687
111111110011		26		0.0500549		37		58776		3.67132
111111110011		25		0.0315071		36		58920		3.63462
111111110011		24		0.0181813		35		59003		3.61405
111111110011		23		0.00835162		34		59094		3.59788
111111110011		22		0.00323181		33		59158		3.6116
111111110011		21		0.000794211		32		59221		3.63281
111111110011		20		0.000158604		31		59271		3.59521
111111110011		19		0		30		59328		3.61367
11111111111		30		0.17601		40		58060		2.92268
11111111111		29		0.136232		39		58277		2.92308
11111111111		28		0.102823		38		58458		2.9386
11111111111		27		0.0754423		37		58619		2.90149
11111111111		26		0.0533346		36		58764		2.90104
11111111111		25		0.0335832		35		58891		2.918
11111111111		24		0.0133427		34		59011		2.90935
11111111111		23		0		33		59114		2.91538
11111111111		30		0.17601		40		58060		2.92035
11111111111		29		0.136232		39		58277		2.90699
11111111111		28		0.102823		38		58458		2.86957
11111111111		27		0.0754423		37		58619		2.87919
11111111111		26		0.0533346		36		58764		2.96991
11111111111		25		0.0335832		35		58891		2.90454
11111111111		24		0.0133427		34		59011		2.9107
11111111111		23		0		33		59114		2.88972
111111110111		29		0.179118		40		58048		2.95524
111111110111		28		0.138389		39		58274		2.92051
111111110111		27		0.105981		38		58456		2.93491
111111110111		26		0.079541		37		58607		2.94099
111111110111		25		0.0561234		36		58749		2.98746
111111110111		24		0.0383237		35		58871		2.99315
111111110111		23		0.0252561		34		58993		2.9495
111111110111		22		0.0107374		33		59081		2.94683
111111110111		21		0.00219496		32		59170		2.95624
111111110111		20		0.000158604		31		59225		2.98606
111111110111		19		0		30		59288		2.98763
111111111011		29		0.179776		40		58050		2.9544
111111111011		28		0.140632		39		58276		2.97208
111111111011		27		0.107928		38		58450		2.97533
111111111011		26		0.0810831		37		58602		2.97211
111111111011		25		0.0593634		36		58748		2.94823
111111111011		24		0.0399893		35		58876		3.01862
111111111011		23		0.025477		34		58992		2.94975
111111111011		22		0.0107374		33		59090		3.00061
111111111011		21		0.00219496		32		59167		3.00271
111111111011		20		0.000158604		31		59229		2.9633
111111111011		19		0		30		59289		2.96003
1111111100111		28		0.199205		40		57995		2.9015
1111111100111		27		0.149841		39		58226		2.89514
1111111100111		26		0.113071		38		58436		2.91304
1111111100111		25		0.0843269		37		58580		2.96221
1111111100111		24		0.0618405		36		58724		2.98732
1111111100111		23		0.0437672		35		58843		2.95447
1111111100111		22		0.0292757		34		58966		2.96259
1111111100111		21		0.0184159		33		59065		2.96286
1111111100111		20		0.0103696		32		59149		2.92777
1111111100111		19		0.00479945		31		59217		2.92736
1111111100111		18		0.00180578		30		59285		2.94575
1111111100111		17		0.000442636		29		59329		2.96953
1111111100111		16		8.40072e-05		28		59380		2.97061
1111111100111		15		0		27		59424		2.96822
1111111110011		28		0.192269		40		58024		2.92601
1111111110011		27		0.149112		39		58246		2.92502
1111111110011		26		0.114116		38		58452		2.90339
1111111110011		25		0.0873236		37		58576		2.90456
1111111110011		24		0.0654306		36		58718		2.96868
1111111110011		23		0.046502		35		58857		2.94101
1111111110011		22		0.0315471		34		58971		2.94794
1111111110011		21		0.0192032		33		59069		2.91607
1111111110011		20		0.010686		32		59152		2.97357
1111111110011		19		0.00479945		31		59223		2.90446
1111111110011		18		0.00180578		30		59288		2.96539
1111111110011		17		0.000442636		29		59338		2.97096
1111111110011		16		8.40072e-05		28		59388		2.94972
1111111110011		15		0		27		59423		2.9618
111111111111		28		0.197682		39		57991		3.01035
111111111111		27		0.155747		38		58221		3.00647
111111111111		26		0.120369		37		58398		3.00735
111111111111		25		0.0911221		36		58581		3.06283
111111111111		24		0.0675766		35		58714		3.05984
111111111111		23		0.0486834		34		58847		3.05555
111111111111		22		0.0333829		33		58955		3.05286
111111111111		21		0.0200906		32		59072		3.05223
111111111111		20		0.00757914		31		59161		3.09874
111111111111		19		0		30		59246		3.02644
111111111111		28		0.197682		39		57991		2.99384
111111111111		27		0.155747		38		58221		2.98556
111111111111		26		0.120369		37		58398		2.99598
111111111111		25		0.0911221		36		58581		3.05386
111111111111		24		0.0675766		35		58714		3.01837
111111111111		23		0.0486834		34		58847		2.98542
111111111111		22		0.0333829		33		58955		2.98638
111111111111		21		0.0200906		32		59072		2.97659
111111111111		20		0.00757914		31		59161		3.01154
111111111111		19		0		30		59246		3.01606
1111111110111		26		0.156458		38		58234		3.03596
1111111110111		25		0.120992		37		58416		3.07231
1111111110111		24		0.0929239		36		58558		3.01129
1111111110111		23		0.0700595		35		58702		3.0287
1111111110111		22		0.0514517		34		58838		3.0429
1111111110111		21		0.0351798		33		58953		3.02203
1111111110111		20		0.0229858		32		59058		3.03636
1111111110111		19		0.0142967		31		59145		3.04221
1111111110111		18		0.00584842		30		59237		3.02503
1111111110111		17		0.00117193		29		59302		3.03724
1111111110111		16		8.40072e-05		28		59346		3.03065
1111111110111		15		0		27		59399		3.02612
1111111111011		27		0.199881		39		57989		3.01841
1111111111011		26		0.157294		38		58237		3.05312
1111111111011		25		0.122872		37		58409		3.01076
1111111111011		24		0.0946069		36		58559		3.03058
1111111111011		23		0.0715464		35		58701		3.0346
1111111111011		22		0.0526408		34		58842		3.03132
1111111111011		21		0.03739		33		58958		3.0554
1111111111011		20		0.0241122		32		59056		3.12136
1111111111011		19		0.0144481		31		59149		3.11172
1111111111011		18		0.00584842		30		59238		3.11938
1111111111011		17		0.00117193		29		59303		3.11808
1111111111011		16		8.40072e-05		28		59346		3.11129
1111111111011		15		0		27		59403		3.12088
11111111100111		25		0.17127		38		58170		2.99947
11111111100111		24		0.129459		37		58398		3.02809
11111111100111		23		0.0978083		36		58554		3.03472
11111111100111		22		0.0732171		35		58677		3.04104
11111111100111		21		0.0546754		34		58816		3.05367
11111111100111		20		0.0390197		33		58937		3.00015
11111111100111		19		0.0266409		32		59045		3.00604
11111111100111		18		0.0170188		31		59134		3.01002
11111111100111		17		0.0102252		30		59230		3.00595
11111111100111		16		0.00548397		29		59292		3.00695
11111111100111		15		0.00246036		28		59349		3.02944
11111111100111		14		0.000886117		27		59397		3.0165
11111111100111		13		0.000213726		26		59441		3.0151
11111111100111		12		3.74696e-05		25		59478		3.02635
11111111100111		11		0		24		59517		3.07302
11111111110011		25		0.166413		38		58204		2.96465
11111111110011		24		0.129061		37		58407		2.97704
11111111110011		23		0.0989804		36		58557		2.96785
11111111110011		22		0.0760383		35		58677		2.96907
11111111110011		21		0.0569825		34		58828		3.00417
11111111110011		20		0.0415375		33		58936		2.97356
11111111110011		19		0.0285235		32		59052		2.97457
11111111110011		18		0.018517		31		59134		2.97571
11111111110011		17		0.0107557		30		59232		2.96935
11111111110011		16		0.00568768		29		59300		2.97488
11111111110011		15		0.00246036		28		59353		2.97285
11111111110011		14		0.000886117		27		59402		2.97644
11111111110011		13		0.000213726		26		59446		2.98733
11111111110011		12		3.74696e-05		25		59482		2.97651
11111111110011		11		0		24		59520		2.97522
1111111111111		25		0.171792		37		58175		3.66697
1111111111111		24		0.134637		36		58376		3.67173
1111111111111		23		0.103886		35		58545		3.67391
1111111111111		22		0.0790287		34		58697		3.67851
1111111111111		21		0.0589325		33		58818		3.67434
1111111111111		20		0.0426867		32		58942		3.68114
1111111111111		19		0.0297244		31		59050		3.68515
1111111111111		18		0.0194509		30		59147		3.68369
1111111111111		17		0.0110134		29		59231		3.68721
1111111111111		16		0.00388437		28		59300		3.68978
1111111111111		15		0		27		59367		3.68921
1111111111111		25		0.171792		37		58175		3.82694
1111111111111		24		0.134637		36		58376		3.81955
1111111111111		23		0.103886		35		58545		3.83344
1111111111111		22		0.0790287		34		58697		3.83616
1111111111111		21		0.0589325		33		58818		3.83767
1111111111111		20		0.0426867		32		58942		3.84134
1111111111111		19		0.0297244		31		59050		3.83875
1111111111111		18		0.0194509		30		59147		3.84863
1111111111111		17		0.0110134		29		59231		3.84596
1111111111111		16		0.00388437		28		59300		3.84578
1111111111111		15		0		27		59367		3.85356
11111111110111		24		0.174949		37		58197		3.71226
11111111110111		23		0.133903		36		58382		3.71762
11111111110111		22		0.10366		35		58551		3.71765
11111111110111		21		0.079764		34		58684		3.7203
11111111110111		20		0.0600632		33		58816		3.7202
11111111110111		19		0.0441021		32		58944		3.72349
11111111110111		18		0.0313287		31		59036		3.78897
11111111110111		17		0.0204654		30		59146		3.72609
11111111110111		16		0.0125808		29		59228		3.72563
11111111110111		15		0.00724115		28		59306		3.72728
11111111110111		14		0.00279092		27		59368		3.71501
11111111110111		13		0.00053736		26		59414		3.72961
11111111110111		12		3.74696e-05		25		59453		3.73193
11111111110111		11		0		24		59500		3.73175
11111111111011		24		0.17188		37		58204		3.69112
11111111111011		23		0.134796		36		58374		3.69552
11111111111011		22		0.105302		35		58552		3.74895
11111111111011		21		0.0811745		34		58687		3.7673
11111111111011		20		0.0613733		33		58811		3.76679
11111111111011		19		0.0452474		32		58945		3.71752
11111111111011		18		0.032208		31		59039		3.71923
11111111111011		17		0.0219087		30		59145		3.70376
11111111111011		16		0.0133003		29		59229		3.70893
11111111111011		15		0.00733745		28		59305		3.71033
11111111111011		14		0.00279092		27		59371		3.71181
11111111111011		13		0.00053736		26		59414		3.72553
11111111111011		12		3.74696e-05		25		59457		3.72664
11111111111011		11		0		24		59501		3.7506
111111111100111		23		0.185424		37		58113		3.6863
111111111100111		22		0.144485		36		58358		3.69232
111111111100111		21		0.109388		35		58532		3.6977
111111111100111		20		0.0828064		34		58689		3.70144
111111111100111		19		0.061886		33		58794		3.70332
111111111100111		18		0.0460477		32		58924		3.69965
111111111100111		17		0.0332509		31		59038		3.70227
111111111100111		16		0.0228084		30		59148		3.76807
111111111100111		15		0.0148017		29		59236		3.7851
111111111100111		14		0.0088726		28		59307		3.77587
111111111100111		13		0.00498108		27		59360		3.68456
111111111100111		12		0.00247978		26		59416		3.68446
