shape		t		lossrate		minCoverage		PM		runtime

1111111111		62		0		71		17201		2.85019
1111111111		62		0		71		17201		4.4555
11111110111		62		0		72		17201		5.51076
11111111011		62		0		72		17201		3.51212
111111100111		61		0		72		17201		3.54195
111111110011		61		0		72		17201		3.03235
11111111111		62		0		72		17201		2.37249
11111111111		62		0		72		17201		2.44307
111111110111		61		0		72		17201		2.29469
111111111011		61		0		72		17201		2.65194
1111111100111		60		0		72		17201		2.32413
1111111110011		60		0		72		17201		2.09442
111111111111		61		0		72		17201		2.43853
111111111111		61		0		72		17201		2.2775
1111111110111		60		0		72		17201		2.1918
1111111111011		60		0		72		17201		2.40898
