shape		t		lossrate		minCoverage		PM		runtime
111111111110111		25		0.103201		39		53494		7.43509
111111111110111		24		0.0817837		38		53952		7.62739
111111111110111		23		0.0300159		37		54613		7.83392
111111111110111		22		0.00340963		36		54978		7.46104
111111111110111		21		0		35		55178		7.69757
111111111111011		28		0.194067		42		51985		7.24057
111111111111011		27		0.162415		41		52534		7.20043
111111111111011		26		0.134016		40		53012		7.22662
111111111111011		25		0.104698		39		53490		7.24043
111111111111011		24		0.0817837		38		53976		7.21607
111111111111011		23		0.0300159		37		54623		7.20652
111111111111011		22		0.00340963		36		54991		7.07275
111111111111011		21		0		35		55194		7.04278
1111111111100111		27		0.190242		42		52069		7.18648
1111111111100111		26		0.160238		41		52534		7.16552
1111111111100111		25		0.127915		40		53060		7.237
1111111111100111		24		0.102221		39		53477		7.0115
1111111111100111		23		0.0794559		38		53908		7.1089
1111111111100111		22		0.0511896		37		54436		7.09746
1111111111100111		21		0.0282724		36		54837		7.19528
1111111111100111		20		0.00896258		35		55116		7.07935
1111111111100111		19		0.00256044		34		55337		7.10203
1111111111100111		18		0		33		55492		6.99178
1111111111110011		27		0.19166		42		52106		7.2011
1111111111110011		26		0.161443		41		52569		7.19559
1111111111110011		25		0.134458		40		53012		7.19341
1111111111110011		24		0.105226		39		53492		7.03744
1111111111110011		23		0.0821532		38		53926		7.07115
1111111111110011		22		0.0511896		37		54466		7.24337
1111111111110011		21		0.0282724		36		54858		7.05172
1111111111110011		20		0.00896258		35		55155		7.13339
1111111111110011		19		0.00256044		34		55351		7.05713
1111111111110011		18		0		33		55507		7.07357
