shape		t		lossrate		minCoverage		PM		runtime

1111111111		54		0		63		19070		2.50816
1111111111		54		0		63		19070		2.54467
11111110111		54		0		64		19070		2.42285
11111111011		54		0		64		19070		2.59375
111111100111		53		0		64		19070		2.85106
111111110011		53		0		64		19070		2.49503
11111111111		54		0		64		19070		1.76
11111111111		54		0		64		19070		1.87895
111111110111		53		0		64		19070		2.09063
111111111011		53		0		64		19070		2.00328
1111111100111		52		0		64		19070		1.92905
1111111110011		52		0		64		19070		2.02892
111111111111		53		0		64		19070		1.98404
111111111111		53		0		64		19070		2.00547
1111111110111		52		0		64		19070		1.90268
1111111111011		52		0		64		19070		2.40172
11111111100111		51		0		64		19070		1.89673
11111111110011		51		0		64		19070		2.0349
1111111111111		52		0		64		19070		3.49261
1111111111111		52		0		64		19070		2.85654
11111111110111		51		0		64		19070		3.03558
11111111111011		51		0		64		19070		2.81181
111111111100111		50		0		64		19070		2.82853
111111111110011		50		0		64		19070		2.82461
11111111111111		51		0		64		19070		6.58325
11111111111111		51		0		64		19070		6.09764
111111111110111		50		0		64		19070		6.44096
111111111111011		50		0		64		19070		6.33528
1111111111100111		49		0		64		19070		6.1083
1111111111110011		49		0		64		19070		6.03294
