shape		t		lossrate		minCoverage		PM		runtime

1111111111		64		0		73		16487		2.66559
1111111111		64		0		73		16487		2.62977
11111110111		64		0		74		16486		2.81604
11111111011		64		0		74		16486		3.42691
111111100111		63		0		74		16486		2.79493
111111110011		63		0		74		16486		2.99387
11111111111		64		0		74		16486		3.23913
11111111111		64		0		74		16486		2.32005
111111110111		63		0		74		16486		3.41945
111111111011		63		0		74		16486		2.59934
1111111100111		62		0		74		16486		3.25967
1111111110011		62		0		74		16486		2.36452
111111111111		63		0		74		16486		2.27319
111111111111		63		0		74		16486		2.30342
1111111110111		62		0		74		16486		2.33891
1111111111011		62		0		74		16486		4.13861
