shape		t		lossrate		minCoverage		PM		runtime

1111111111		30		0.193218		39		53125		2.45387
1111111111		29		0.104248		38		53874		2.46299
1111111111		28		0		37		54761		2.50459
1111111111		30		0.193218		39		53125		2.81276
1111111111		29		0.104248		38		53874		2.6702
1111111111		28		0		37		54761		2.76562
11111110111		29		0.189588		39		53031		2.708
11111110111		28		0.151616		38		53654		2.72157
11111110111		27		0.0549938		37		54533		2.71181
11111110111		26		0.00615012		36		54940		2.86831
11111110111		25		0		35		55179		2.97156
11111111011		29		0.191834		39		53058		2.72045
11111111011		28		0.151616		38		53686		2.73084
11111111011		27		0.0549938		37		54558		2.73076
11111111011		26		0.00615012		36		54960		2.74079
11111111011		25		0		35		55188		2.72201
111111100111		28		0.184797		39		53044		2.51763
111111100111		27		0.146021		38		53577		2.7206
111111100111		26		0.0937185		37		54251		2.72085
111111100111		25		0.0523769		36		54722		2.51633
111111100111		24		0.0164822		35		55095		2.5272
111111100111		23		0.00483442		34		55323		2.52445
111111100111		22		0		33		55505		2.5456
111111110011		28		0.189293		39		53084		2.69617
111111110011		27		0.150076		38		53618		2.69882
111111110011		26		0.0937185		37		54316		2.79465
111111110011		25		0.0523769		36		54757		2.61649
111111110011		24		0.0164822		35		55128		2.75708
111111110011		23		0.00483442		34		55361		2.70834
111111110011		22		0		33		55519		2.84637
11111111111		28		0.19717		38		53002		1.97556
11111111111		27		0.152459		37		53642		2.12511
11111111111		26		0.0802182		36		54261		2.11271
11111111111		25		0		35		54966		2.10021
11111111111		28		0.19717		38		53002		1.98023
11111111111		27		0.152459		37		53642		2.06761
11111111111		26		0.0802182		36		54261		2.0962
11111111111		25		0		35		54966		2.1642
111111110111		27		0.187801		38		53042		2.17247
111111110111		26		0.149507		37		53584		2.14895
111111110111		25		0.117766		36		54091		2.1975
111111110111		24		0.0428503		35		54783		2.20037
111111110111		23		0.00483442		34		55130		2.25801
111111110111		22		0		33		55348		2.22126
111111111011		27		0.194796		38		53013		1.95654
111111111011		26		0.15151		37		53600		2.00726
