shape		t		lossrate		minCoverage		PM		runtime

1111111111		33		0.155926		42		58356		3.30081
1111111111		32		0.117861		41		58579		3.30807
1111111111		31		0.0856797		40		58773		3.30972
1111111111		30		0.0557616		39		58968		3.31404
1111111111		29		0.0231367		38		59124		3.31557
1111111111		28		0		37		59253		3.31701
1111111111		33		0.155926		42		58356		3.29696
1111111111		32		0.117861		41		58579		3.29986
1111111111		31		0.0856797		40		58773		3.30477
1111111111		30		0.0557616		39		58968		3.30761
1111111111		29		0.0231367		38		59124		3.30958
1111111111		28		0		37		59253		3.30792
11111110111		32		0.160798		42		58345		3.72742
11111110111		31		0.123377		41		58558		3.72979
11111110111		30		0.0891965		40		58750		3.73402
11111110111		29		0.0631742		39		58918		3.73761
11111110111		28		0.0438836		38		59081		3.73804
11111110111		27		0.01924		37		59224		3.74163
11111110111		26		0.00397962		36		59319		3.74674
11111110111		25		0.000287877		35		59383		3.74325
11111110111		24		0		34		59440		3.74344
11111111011		32		0.163251		42		58336		3.50552
11111111011		31		0.125415		41		58554		3.50987
11111111011		30		0.0939865		40		58744		3.51327
11111111011		29		0.0656103		39		58919		3.51571
11111111011		28		0.0441971		38		59093		3.5195
11111111011		27		0.01924		37		59232		3.52131
11111111011		26		0.00397962		36		59324		3.52091
11111111011		25		0.000287877		35		59386		3.52429
11111111011		24		0		34		59441		3.52442
111111100111		31		0.176577		42		58342		3.49012
111111100111		30		0.133324		41		58542		3.49635
111111100111		29		0.0974876		40		58731		3.49949
111111100111		28		0.07118		39		58900		3.50309
111111100111		27		0.0496488		38		59029		3.50687
111111100111		26		0.0325031		37		59189		3.51106
111111100111		25		0.0190875		36		59287		3.51186
111111100111		24		0.00902742		35		59359		3.5105
111111100111		23		0.00351403		34		59429		3.57504
111111100111		22		0.000863769		33		59482		3.51367
111111100111		21		0.000174228		32		59526		3.51243
111111100111		20		0		31		59573		3.51233
111111110011		31		0.175112		42		58347		3.48486
111111110011		30		0.133811		41		58555		3.48882
111111110011		29		0.102671		40		58733		3.49117
111111110011		28		0.0751174		39		58906		3.49693
111111110011		27		0.0530527		38		59042		3.49673
111111110011		26		0.033639		37		59202		3.49926
111111110011		25		0.0195634		36		59299		3.49972
111111110011		24		0.00902742		35		59365		3.50066
111111110011		23		0.00351403		34		59434		3.5022
111111110011		22		0.000863769		33		59483		3.50308
111111110011		21		0.000174228		32		59528		3.53237
111111110011		20		0		31		59578		3.54963
11111111111		31		0.182139		41		58261		2.74535
11111111111		30		0.141752		40		58492		2.74655
11111111111		29		0.107632		39		58684		2.75058
11111111111		28		0.0794265		38		58859		2.75473
11111111111		27		0.0565412		37		59019		2.75928
11111111111		26		0.0359305		36		59170		2.75811
11111111111		25		0.0144292		35		59283		2.76183
11111111111		24		0		34		59393		2.7645
11111111111		31		0.182139		41		58261		2.78522
11111111111		30		0.141752		40		58492		2.77557
11111111111		29		0.107632		39		58684		2.75205
11111111111		28		0.0794265		38		58859		2.75435
11111111111		27		0.0565412		37		59019		2.75768
11111111111		26		0.0359305		36		59170		2.75643
11111111111		25		0.0144292		35		59283		2.76091
11111111111		24		0		34		59393		2.76216
111111110111		30		0.185675		41		58278		2.79922
111111110111		29		0.144199		40		58489		2.80806
111111110111		28		0.11097		39		58693		2.81286
111111110111		27		0.0837331		38		58856		2.81536
111111110111		26		0.0594961		37		59006		2.81712
111111110111		25		0.0410173		36		59150		2.81775
111111110111		24		0.0273755		35		59264		2.86231
111111110111		23		0.0117323		34		59378		2.86284
111111110111		22		0.00240772		33		59436		2.86413
111111110111		21		0.000174228		32		59488		2.81405
111111110111		20		0		31		59542		2.8167
111111111011		30		0.186271		41		58277		2.80531
111111111011		29		0.146453		40		58486		2.80837
111111111011		28		0.112938		39		58692		2.81281
111111111011		27		0.0852918		38		58864		2.81203
111111111011		26		0.0628655		37		58999		2.82454
111111111011		25		0.0427532		36		59153		2.82654
111111111011		24		0.0276054		35		59270		2.82681
111111111011		23		0.0117323		34		59383		2.82173
111111111011		22		0.00240772		33		59443		2.82422
111111111011		21		0.000174228		32		59495		2.82412
111111111011		20		0		31		59541		2.82612
1111111100111		28		0.156042		40		58502		2.77658
1111111100111		27		0.11836		39		58683		2.77917
1111111100111		26		0.0887661		38		58845		2.7818
1111111100111		25		0.0654998		37		59004		2.78362
1111111100111		24		0.0467249		36		59129		2.78606
1111111100111		23		0.0315681		35		59247		2.78716
1111111100111		22		0.020049		34		59345		2.78959
1111111100111		21		0.0114025		33		59414		2.79173
1111111100111		20		0.00530843		32		59482		2.79164
1111111100111		19		0.0020141		31		59543		2.7916
1111111100111		18		0.000494763		30		59582		2.79289
1111111100111		17		9.52894e-05		29		59620		2.79506
1111111100111		16		0		28		59660		2.79498
1111111110011		29		0.199217		41		58267		3.28896
1111111110011		28		0.155205		40		58513		3.29368
1111111110011		27		0.119343		39		58691		3.29536
1111111110011		26		0.0917939		38		58857		3.29796
1111111110011		25		0.069214		37		58990		3.30197
1111111110011		24		0.0495648		36		59128		3.31353
1111111110011		23		0.033952		35		59255		3.31696
1111111110011		22		0.0208711		34		59353		3.32591
1111111110011		21		0.011736		33		59422		3.38218
1111111110011		20		0.00530843		32		59489		3.52714
1111111110011		19		0.0020141		31		59544		3.85463
1111111110011		18		0.000494763		30		59586		3.85521
1111111110011		17		9.52894e-05		29		59622		3.8532
1111111110011		16		0		28		59664		3.85748
111111111111		28		0.162068		39		58437		3.09074
111111111111		27		0.125964		38		58631		3.04155
111111111111		26		0.0958343		37		58824		3.03955
111111111111		25		0.0714674		36		58957		3.04086
111111111111		24		0.0518644		35		59096		3.10786
111111111111		23		0.0359267		34		59242		3.11062
111111111111		22		0.0219074		33		59347		3.1012
111111111111		21		0.00838316		32		59429		3.03337
111111111111		20		0		31		59509		3.03661
111111111111		28		0.162068		39		58437		3.29327
111111111111		27		0.125964		38		58631		3.28359
111111111111		26		0.0958343		37		58824		3.29323
111111111111		25		0.0714674		36		58957		3.29477
111111111111		24		0.0518644		35		59096		3.21411
111111111111		23		0.0359267		34		59242		3.22862
111111111111		22		0.0219074		33		59347		3.14461
111111111111		21		0.00838316		32		59429		3.17493
111111111111		20		0		31		59509		3.17847
1111111110111		27		0.163113		39		58460		2.86674
1111111110111		26		0.126719		38		58652		2.86933
1111111110111		25		0.097792		37		58832		2.87215
1111111110111		24		0.0741747		36		58966		2.87354
1111111110111		23		0.0548862		35		59096		2.87706
1111111110111		22		0.0378932		34		59235		2.87739
1111111110111		21		0.0250771		33		59337		2.87657
1111111110111		20		0.0158533		32		59417		2.8816
1111111110111		19		0.0065603		31		59500		2.96332
1111111110111		18		0.00132374		30		59545		2.91295
1111111110111		17		9.52894e-05		29		59593		2.89969
1111111110111		16		0		28		59640		2.94078
1111111111011		27		0.163913		39		58455		2.8666
1111111111011		26		0.128623		38		58649		2.8728
1111111111011		25		0.0994941		37		58829		2.87422
1111111111011		24		0.0756744		36		58966		2.87573
1111111111011		23		0.0560934		35		59098		2.87593
1111111111011		22		0.0402181		34		59227		2.88055
1111111111011		21		0.0262675		33		59335		2.88192
1111111111011		20		0.0160132		32		59419		2.88166
1111111111011		19		0.0065603		31		59503		2.88104
