shape		t		lossrate		minCoverage		PM		runtime

1111111111		63		0		72		16881		2.73556
1111111111		63		0		72		16881		2.63358
11111110111		63		0		73		16881		5.02532
11111111011		63		0		73		16881		5.74863
111111100111		62		0		73		16881		6.03727
111111110011		62		0		73		16881		6.11014
11111111111		63		0		73		16881		4.18501
11111111111		63		0		73		16881		4.33322
111111110111		62		0		73		16881		4.44177
111111111011		62		0		73		16881		4.76734
1111111100111		61		0		73		16881		4.50861
1111111110011		61		0		73		16881		4.5446
111111111111		62		0		73		16881		4.24372
111111111111		62		0		73		16881		4.74928
1111111110111		61		0		73		16881		2.21287
1111111111011		61		0		73		16881		2.35696
